score,decision,risk_band,label
0.13333333333333333,MONITOR_TENURE,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.05555555555555555,MONITOR_PROMOTION,LOW,0
0.5714285714285714,MONITOR_TENURE,MEDIUM,1
0.10526315789473684,MONITOR_MODEL,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.07784794937603966,MONITOR_PROMOTION,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.6,MONITOR_TENURE,HIGH,0
0.5714285714285714,MONITOR_PROMOTION,MEDIUM,0
0.3571720457428797,MONITOR_PROMOTION,MEDIUM,0
0.06896551724137931,RETAIN,LOW,0
0.15200240550504607,MONITOR_PROMOTION,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.6666666666666666,INTERVENE_MODEL,HIGH,0
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.10526315789473684,MONITOR_TENURE,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,1
0.06896551724137931,MONITOR_PROMOTION,LOW,1
0.13333333333333333,MONITOR_MODEL,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.5714285714285714,INTERVENE_MODEL,MEDIUM,0
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,1
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,1
0.13333333333333333,MONITOR_MODEL,LOW,0
0.10526315789473684,MONITOR_TENURE,LOW,0
0.16666666666666666,MONITOR_TENURE,LOW,0
0.09090909090909091,RETAIN,LOW,0
0.5714285714285714,MONITOR_TENURE,MEDIUM,0
0.5714285714285714,INTERVENE_RULE,MEDIUM,1
0.13333333333333333,MONITOR_MODEL,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.06896551724137931,MONITOR_PROMOTION,LOW,0
0.16666666666666666,INTERVENE_RULE,LOW,1
0.05555555555555555,RETAIN,LOW,0
0.16666666666666666,INTERVENE_MODEL,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.06896551724137931,MONITOR_TENURE,LOW,0
0.3333333333333333,INTERVENE_MODEL,MEDIUM,0
0.06666666666666667,RETAIN,LOW,0
0.6,INTERVENE_MODEL,HIGH,0
0.09090909090909091,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.09090909090909091,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.16666666666666666,MONITOR_TENURE,LOW,0
0.10526315789473684,MONITOR_PROMOTION,LOW,0
0.6,INTERVENE_MODEL,HIGH,1
0.5714285714285714,INTERVENE_MODEL,MEDIUM,0
0.06666666666666667,RETAIN,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.5714285714285714,INTERVENE_MODEL,MEDIUM,0
0.06666666666666667,RETAIN,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,1
0.16666666666666666,INTERVENE_RULE,LOW,0
0.06666666666666667,MONITOR_TENURE,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.09090909090909091,MONITOR_PROMOTION,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.06896551724137931,MONITOR_TENURE,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.2727272727272727,INTERVENE_MODEL,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.2727272727272727,INTERVENE_RULE,LOW,1
0.05555555555555555,MONITOR_PROMOTION,LOW,1
0.05555555555555555,RETAIN,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.13333333333333333,INTERVENE_RULE,LOW,0
0.05555555555555555,MONITOR_TENURE,LOW,0
0.06666666666666667,RETAIN,LOW,1
0.06666666666666667,INTERVENE_RULE,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.05555555555555555,MONITOR_PROMOTION,LOW,0
0.05555555555555555,MONITOR_PROMOTION,LOW,0
0.3333333333333333,MONITOR_TENURE,MEDIUM,1
0.06666666666666667,RETAIN,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.6666666666666666,INTERVENE_MODEL,HIGH,1
0.13333333333333333,MONITOR_MODEL,LOW,0
0.06666666666666667,RETAIN,LOW,1
0.05555555555555555,INTERVENE_RULE,LOW,0
0.3333333333333333,INTERVENE_MODEL,MEDIUM,0
0.05555555555555555,RETAIN,LOW,0
0.6,MONITOR_TENURE,HIGH,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.6,MONITOR_TENURE,HIGH,0
0.06896551724137931,MONITOR_PROMOTION,LOW,0
0.5714285714285714,MONITOR_TENURE,MEDIUM,0
0.05555555555555555,RETAIN,LOW,0
0.16666666666666666,INTERVENE_MODEL,LOW,1
0.06896551724137931,RETAIN,LOW,0
0.16666666666666666,INTERVENE_MODEL,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.09090909090909091,RETAIN,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.09090909090909091,RETAIN,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.3333333333333333,MONITOR_TENURE,MEDIUM,0
0.06896551724137931,MONITOR_PROMOTION,LOW,0
0.06896551724137931,MONITOR_PROMOTION,LOW,0
0.16666666666666666,INTERVENE_MODEL,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.2727272727272727,INTERVENE_MODEL,LOW,0
0.6,MONITOR_PROMOTION,HIGH,1
0.05555555555555555,RETAIN,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,1
0.05555555555555555,RETAIN,LOW,0
0.2222222222222222,MONITOR_PROMOTION,LOW,1
0.3337328050426411,INTERVENE_MODEL,MEDIUM,0
0.09090909090909091,RETAIN,LOW,0
0.06666666666666667,MONITOR_TENURE,LOW,0
0.6,MONITOR_TENURE,HIGH,0
0.13333333333333333,MONITOR_TENURE,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.05555555555555555,MONITOR_PROMOTION,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.2727272727272727,INTERVENE_MODEL,LOW,0
0.2222222222222222,MONITOR_TENURE,LOW,1
0.05555555555555555,RETAIN,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.09090909090909091,RETAIN,LOW,0
0.05555555555555555,MONITOR_PROMOTION,LOW,0
0.10526315789473684,MONITOR_PROMOTION,LOW,0
0.06896551724137931,INTERVENE_RULE,LOW,1
0.09090909090909091,RETAIN,LOW,1
0.0607801368651574,MONITOR_PROMOTION,LOW,0
0.16666666666666666,INTERVENE_MODEL,LOW,1
0.10526315789473684,MONITOR_MODEL,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.05555555555555555,MONITOR_PROMOTION,LOW,0
0.3333333333333333,INTERVENE_MODEL,MEDIUM,1
0.05555555555555555,RETAIN,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,1
0.06666666666666667,RETAIN,LOW,0
0.06896551724137931,RETAIN,LOW,1
0.13333333333333333,MONITOR_MODEL,LOW,0
0.2727272727272727,MONITOR_TENURE,LOW,1
0.09090909090909091,RETAIN,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.13333333333333333,MONITOR_TENURE,LOW,0
0.3333333333333333,MONITOR_TENURE,MEDIUM,0
0.5714285714285714,MONITOR_TENURE,MEDIUM,0
0.05555555555555555,RETAIN,LOW,1
0.05555555555555555,RETAIN,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,1
0.05555555555555555,MONITOR_PROMOTION,LOW,0
0.06666666666666667,MONITOR_TENURE,LOW,1
0.16666666666666666,INTERVENE_MODEL,LOW,0
0.07744713319731358,RETAIN,LOW,0
0.2222222222222222,MONITOR_PROMOTION,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.5714285714285714,INTERVENE_MODEL,MEDIUM,1
0.06945436143760088,MONITOR_PROMOTION,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.06896551724137931,MONITOR_TENURE,LOW,0
0.10526315789473684,MONITOR_PROMOTION,LOW,0
0.5714285714285714,MONITOR_TENURE,MEDIUM,0
0.13333333333333333,MONITOR_PROMOTION,LOW,1
0.09090909090909091,RETAIN,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.10526315789473684,MONITOR_PROMOTION,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.06896551724137931,MONITOR_PROMOTION,LOW,1
0.06896551724137931,RETAIN,LOW,0
0.05555555555555555,MONITOR_TENURE,LOW,0
0.3333333333333333,MONITOR_TENURE,MEDIUM,0
1.0,MONITOR_TENURE,HIGH,1
0.05555555555555555,RETAIN,LOW,0
0.10217098417051451,MONITOR_MODEL,LOW,0
0.06388649695888789,MONITOR_PROMOTION,LOW,0
0.2222222222222222,MONITOR_TENURE,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.06896551724137931,MONITOR_PROMOTION,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.06666666666666667,MONITOR_TENURE,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.5714285714285714,INTERVENE_MODEL,MEDIUM,1
0.06896551724137931,RETAIN,LOW,0
0.06896551724137931,MONITOR_TENURE,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.5714285714285714,INTERVENE_MODEL,MEDIUM,1
0.05555555555555555,RETAIN,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.06896551724137931,RETAIN,LOW,1
1.0,MONITOR_TENURE,HIGH,0
0.06896551724137931,MONITOR_PROMOTION,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.13333333333333333,MONITOR_TENURE,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.2364937693796332,INTERVENE_MODEL,LOW,0
0.09090909090909091,MONITOR_PROMOTION,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.05555555555555555,MONITOR_TENURE,LOW,0
0.06896551724137931,MONITOR_PROMOTION,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.5714285714285714,MONITOR_TENURE,MEDIUM,1
0.6,MONITOR_TENURE,HIGH,0
0.05555555555555555,RETAIN,LOW,1
0.2222222222222222,MONITOR_TENURE,LOW,0
0.06537046032350574,RETAIN,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.10526315789473684,MONITOR_PROMOTION,LOW,0
0.2727272727272727,INTERVENE_MODEL,LOW,0
0.06896551724137931,MONITOR_TENURE,LOW,1
0.06666666666666667,RETAIN,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.10526315789473684,MONITOR_PROMOTION,LOW,0
0.07755540764011816,RETAIN,LOW,1
1.0,MONITOR_TENURE,HIGH,1
0.06896551724137931,RETAIN,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.6666666666666666,INTERVENE_MODEL,HIGH,1
0.06666666666666667,RETAIN,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.05555555555555555,MONITOR_PROMOTION,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.5714285714285714,INTERVENE_MODEL,MEDIUM,0
0.06666666666666667,RETAIN,LOW,0
0.13333333333333333,MONITOR_TENURE,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.06666666666666667,MONITOR_TENURE,LOW,0
0.06666666666666667,MONITOR_TENURE,LOW,1
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.16666666666666666,INTERVENE_MODEL,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.10526315789473684,MONITOR_MODEL,LOW,0
0.5714285714285714,MONITOR_TENURE,MEDIUM,1
0.16666666666666666,MONITOR_TENURE,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.06666666666666667,MONITOR_PROMOTION,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.13333333333333333,MONITOR_MODEL,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.16666666666666666,INTERVENE_MODEL,LOW,0
0.06666666666666667,MONITOR_TENURE,LOW,0
0.06896551724137931,RETAIN,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.13333333333333333,INTERVENE_RULE,LOW,1
0.06896551724137931,RETAIN,LOW,0
0.06666666666666667,RETAIN,LOW,0
0.05555555555555555,RETAIN,LOW,0
0.10526315789473684,INTERVENE_RULE,LOW,1
0.06666666666666667,RETAIN,LOW,0
0.06896551724137931,MONITOR_PROMOTION,LOW,0
